Member id,SEC,FEH,MT,SEX,AGE,EDU,HS,CHILD,CS,Affluence Index,No. of Brands,Brand Runs,Total Volume,No. of  Trans,Value,Trans / Brand Runs,Vol/Tran,Avg. Price ,Pur Vol No Promo - %,Pur Vol Promo 6 %,Pur Vol Other Promo %,"Br. Cd. 57, 144",Br. Cd. 55,Br. Cd. 272,Br. Cd. 286,Br. Cd. 24,Br. Cd. 481,Br. Cd. 352,Br. Cd. 5,Others 999,Pr Cat 1,Pr Cat 2,Pr Cat 3,Pr Cat 4,PropCat 5,PropCat 6,PropCat 7,PropCat 8,PropCat 9,PropCat 10,PropCat 11,PropCat 12,PropCat 13,PropCat 14,PropCat 15,,,,,,,,,,,,,,,,,,,,,
1151600,1,3,8,2,4,7,3,4,1,24,4,19,8775,54,995.50,2.84,162.50,11.34,100.0%,0.0%,0.0%,29.6%,0.0%,2.6%,0.0%,0.0%,0.0%,1.1%,0.0%,66.7%,45.0%,49.6%,0.0%,5.4%,50.4%,0.0%,5.1%,5.7%,38.7%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,,,,,,,,,,,,,,,,,,,,
1151760,2,1,4,2,4,5,5,4,1,28,5,17,19525,18,1989.50,1.06,1084.72,10.19,98.8%,1.2%,0.0%,2.0%,26.1%,5.8%,0.0%,0.8%,0.0%,0.0%,0.0%,65.3%,12.3%,61.6%,26.1%,0.0%,20.5%,0.0%,0.0%,5.8%,0.0%,2.3%,0.0%,0.0%,0.8%,26.1%,44.6%,,,,,,,,,,,,,,,,,,,,,
1151830,1,1,10,2,4,7,8,4,1,4,4,20,26625,47,2969.00,2.35,566.49,11.15,69.2%,0.8%,30.0%,76.2%,0.0%,0.6%,0.0%,0.0%,0.0%,0.8%,0.0%,22.4%,10.0%,90.0%,0.0%,0.0%,87.3%,0.0%,4.1%,7.5%,0.8%,0.3%,0.0%,0.0%,0.0%,0.0%,0.0%,,,,,,,,,,,,,,,,,,,,,
1152040,3,1,4,2,4,5,2,4,1,18,5,23,13100,39,1534.50,1.70,335.90,11.71,100.0%,0.0%,0.0%,26.0%,0.0%,13.7%,0.0%,0.6%,0.0%,0.0%,1.1%,58.6%,27.5%,58.8%,0.0%,13.7%,61.1%,1.1%,0.0%,17.2%,18.3%,1.7%,0.0%,0.0%,0.6%,0.0%,0.0%,,,,,,,,,,,,,,,,,,,,,
1152050,1,1,4,2,4,5,4,4,1,46,6,35,9275,40,1334.75,1.14,231.88,14.39,70.6%,15.9%,13.5%,8.6%,0.0%,2.4%,0.0%,4.9%,4.9%,0.0%,4.0%,75.2%,65.5%,33.7%,0.0%,0.8%,35.6%,12.1%,18.6%,10.5%,4.3%,1.6%,4.9%,0.0%,7.5%,0.0%,4.9%,,,,,,,,,,,,,,,,,,,,,
1152170,1,3,10,2,4,7,2,4,1,33,2,13,9200,38,1899.00,2.92,242.11,20.64,100.0%,0.0%,0.0%,66.8%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,33.2%,64.7%,35.3%,0.0%,0.0%,71.7%,4.9%,0.0%,0.0%,0.0%,23.4%,0.0%,0.0%,0.0%,0.0%,0.0%,,,,,,,,,,,,,,,,,,,,,
1152230,2,3,9,2,4,6,4,4,1,34,4,30,27345,73,3860.25,2.43,374.59,14.12,95.6%,0.0%,4.4%,3.7%,0.0%,0.0%,0.0%,0.8%,0.0%,0.0%,2.2%,93.3%,79.6%,20.4%,0.0%,0.0%,14.9%,25.0%,58.4%,0.0%,0.0%,0.0%,0.0%,0.0%,1.7%,0.0%,0.0%,,,,,,,,,,,,,,,,,,,,,
1152360,1,0,0,0,4,0,0,5,0,0,4,10,3350,15,569.50,1.50,223.33,17.00,100.0%,0.0%,0.0%,66.4%,0.0%,0.0%,0.0%,9.0%,0.0%,0.0%,2.2%,22.4%,76.1%,23.9%,0.0%,0.0%,66.4%,2.2%,6.7%,4.5%,0.0%,11.2%,0.0%,0.0%,9.0%,0.0%,0.0%,,,,,,,,,,,,,,,,,,,,,
1155080,1,3,10,2,3,7,4,4,2,25,6,21,7550,29,970.75,1.38,260.34,12.86,73.5%,11.6%,14.9%,3.0%,4.0%,0.0%,0.0%,9.9%,4.0%,5.3%,0.0%,73.8%,41.1%,55.0%,4.0%,0.0%,26.5%,0.0%,5.3%,4.0%,0.0%,6.0%,4.0%,0.0%,15.9%,4.0%,34.4%,,,,,,,,,,,,,,,,,,,,,
1155110,1,1,10,2,3,7,4,4,1,42,5,57,8650,70,929.00,1.23,123.57,10.74,90.5%,6.9%,2.6%,2.3%,0.0%,0.0%,2.3%,0.0%,0.0%,2.3%,5.2%,87.9%,29.5%,59.0%,0.0%,11.6%,63.6%,17.3%,7.8%,0.0%,1.2%,0.9%,5.8%,0.0%,0.0%,0.0%,3.5%,,,,,,,,,,,,,,,,,,,,,
1155150,2,1,4,2,4,5,5,4,1,44,1,8,13325,17,1683.50,2.13,783.82,12.63,76.7%,3.0%,20.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,90.2%,9.8%,0.0%,0.0%,0.0%,0.0%,99.2%,0.0%,0.8%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,,,,,,,,,,,,,,,,,,,,
1155250,2,1,10,2,4,5,4,4,1,30,3,19,5825,25,807.50,1.32,233.00,13.86,89.7%,0.0%,10.3%,3.4%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,2.6%,94.0%,78.1%,21.9%,0.0%,0.0%,41.6%,19.3%,39.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,,,,,,,,,,,,,,,,,,,,
1155270,1,1,5,2,3,5,4,4,1,15,4,13,8800,27,1005.00,2.08,325.93,11.42,95.5%,0.0%,4.5%,61.9%,3.4%,0.0%,0.0%,0.0%,4.3%,0.0%,0.0%,30.4%,6.3%,90.3%,3.4%,0.0%,87.8%,0.0%,0.0%,3.4%,0.0%,1.1%,4.3%,0.0%,0.0%,3.4%,0.0%,,,,,,,,,,,,,,,,,,,,,
1155360,2,0,0,0,3,0,0,5,0,0,3,22,4910,30,917.50,1.36,163.67,18.69,71.5%,0.0%,28.5%,0.0%,0.0%,0.0%,0.0%,38.2%,0.0%,0.0%,6.1%,55.7%,94.4%,5.6%,0.0%,0.0%,7.3%,6.1%,6.1%,11.7%,30.5%,0.0%,0.0%,0.0%,38.2%,0.0%,0.0%,,,,,,,,,,,,,,,,,,,,,
1155380,1,2,4,2,3,7,4,2,1,29,5,25,7450,46,1030.00,1.84,161.96,13.83,96.0%,3.0%,1.0%,39.9%,0.0%,0.0%,0.0%,0.0%,1.0%,4.0%,15.1%,39.9%,44.6%,54.0%,0.0%,1.3%,60.7%,16.1%,5.0%,2.0%,0.0%,14.1%,2.0%,0.0%,0.0%,0.0%,0.0%,,,,,,,,,,,,,,,,,,,,,
1155460,1,1,13,1,4,5,4,4,1,20,4,25,10150,30,1422.50,1.20,338.33,14.01,79.8%,12.8%,7.4%,0.0%,0.0%,8.9%,0.0%,5.2%,4.4%,0.0%,0.0%,81.5%,74.9%,19.2%,0.0%,5.9%,32.8%,0.0%,31.0%,23.6%,0.0%,0.0%,4.4%,0.0%,6.7%,0.0%,1.5%,,,,,,,,,,,,,,,,,,,,,
1155550,2,1,10,2,4,8,4,4,1,38,4,28,8460,32,1325.00,1.14,264.38,15.66,82.3%,5.3%,12.4%,14.2%,0.0%,12.4%,0.0%,0.0%,5.3%,0.0%,0.0%,68.1%,54.2%,43.4%,0.0%,2.4%,41.8%,3.0%,16.3%,21.3%,2.7%,0.0%,5.3%,0.0%,0.0%,0.0%,9.8%,,,,,,,,,,,,,,,,,,,,,
1155580,1,1,10,2,4,5,3,4,1,18,3,9,5475,25,674.00,2.78,219.00,12.31,75.3%,19.2%,5.5%,0.0%,0.0%,35.6%,0.0%,0.0%,0.0%,53.0%,0.0%,11.4%,6.8%,93.2%,0.0%,0.0%,1.4%,0.0%,53.0%,45.7%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,,,,,,,,,,,,,,,,,,,,
1155680,1,0,0,0,3,0,0,5,0,0,3,21,11975,33,1521.50,1.57,362.88,12.71,85.4%,2.5%,12.1%,0.0%,0.0%,1.3%,0.0%,0.0%,0.0%,0.0%,5.0%,93.7%,21.3%,78.7%,0.0%,0.0%,10.6%,73.1%,0.0%,2.5%,12.5%,0.0%,0.0%,1.3%,0.0%,0.0%,0.0%,,,,,,,,,,,,,,,,,,,,,
1155700,3,0,0,0,3,0,0,5,0,0,1,1,225,1,42.00,1.00,225.00,18.67,100.0%,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,,,,,,,,,,,,,,,,,,,,
1155740,2,1,4,2,3,7,5,2,1,13,3,4,12500,25,1310.50,6.25,500.00,10.48,100.0%,0.0%,0.0%,90.4%,0.0%,0.0%,0.0%,0.0%,0.0%,3.2%,0.0%,6.4%,0.0%,100.0%,0.0%,0.0%,96.8%,0.0%,3.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,,,,,,,,,,,,,,,,,,,,
1155820,1,3,10,2,4,5,5,4,1,44,4,25,31125,63,6365.00,2.52,494.05,20.45,81.9%,9.4%,8.7%,21.6%,0.0%,0.0%,0.0%,28.0%,0.0%,0.0%,2.7%,47.8%,88.4%,11.3%,0.2%,0.0%,36.1%,2.7%,0.0%,0.0%,0.0%,25.3%,0.0%,0.0%,30.4%,0.2%,5.3%,,,,,,,,,,,,,,,,,,,,,
1155870,1,3,4,2,4,8,5,2,1,22,5,27,9200,47,1906.00,1.74,195.74,20.72,96.7%,0.0%,3.3%,3.8%,0.0%,0.0%,0.0%,22.0%,0.8%,0.0%,24.5%,48.9%,97.0%,3.0%,0.0%,0.0%,7.9%,40.2%,1.6%,1.6%,0.0%,6.5%,0.8%,1.6%,35.6%,0.0%,4.1%,,,,,,,,,,,,,,,,,,,,,
1155960,1,1,10,2,4,7,3,4,1,19,1,2,600,2,72.00,1.00,300.00,12.00,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,,,,,,,,,,,,,,,,,,,,
1156020,1,3,10,2,3,7,5,2,1,25,7,62,10320,75,1537.10,1.21,137.60,14.89,85.2%,1.9%,12.8%,4.6%,2.9%,1.5%,0.0%,0.0%,2.9%,3.9%,5.1%,79.2%,67.5%,27.9%,2.9%,1.7%,40.0%,12.8%,3.9%,6.5%,7.8%,0.0%,2.9%,2.9%,0.0%,2.9%,20.3%,,,,,,,,,,,,,,,,,,,,,
1156100,2,1,10,2,4,6,12,2,1,25,5,33,23325,45,2599.00,1.36,518.33,11.14,100.0%,0.0%,0.0%,9.6%,0.0%,2.9%,27.9%,0.0%,0.0%,7.7%,0.0%,51.9%,12.1%,87.9%,0.0%,0.0%,62.8%,2.6%,10.6%,21.4%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,2.6%,,,,,,,,,,,,,,,,,,,,,
1156150,1,1,4,2,2,7,4,2,1,19,6,27,11000,36,1232.25,1.33,305.56,11.20,98.6%,1.4%,0.0%,30.2%,6.8%,1.4%,3.6%,1.4%,0.0%,0.0%,0.0%,56.6%,18.9%,58.0%,6.8%,16.4%,66.1%,0.0%,3.6%,15.7%,0.9%,4.1%,0.0%,0.0%,1.4%,6.8%,1.4%,,,,,,,,,,,,,,,,,,,,,
1156220,3,0,0,0,3,0,0,5,0,0,4,15,10825,25,819.50,1.67,433.00,7.57,100.0%,0.0%,0.0%,0.0%,69.3%,0.0%,3.7%,0.0%,0.0%,0.9%,0.0%,26.1%,15.9%,14.8%,69.3%,0.0%,4.6%,6.5%,14.1%,0.0%,5.5%,0.0%,0.0%,0.0%,0.0%,69.3%,0.0%,,,,,,,,,,,,,,,,,,,,,
1156240,2,3,10,2,3,5,4,4,1,19,7,34,9800,46,1349.50,1.35,213.04,13.77,76.0%,21.4%,2.6%,12.8%,0.0%,4.6%,0.0%,2.3%,2.3%,2.0%,4.6%,71.4%,51.5%,48.5%,0.0%,0.0%,20.4%,6.1%,2.8%,17.9%,0.0%,7.7%,2.3%,2.3%,2.3%,0.0%,38.3%,,,,,,,,,,,,,,,,,,,,,
1156290,1,3,10,2,3,7,4,2,1,38,3,15,9825,27,1036.50,1.80,363.89,10.55,89.3%,0.0%,10.7%,0.0%,0.0%,0.0%,28.5%,0.0%,4.6%,0.0%,0.0%,66.9%,3.1%,96.9%,0.0%,0.0%,82.7%,0.0%,2.5%,0.0%,0.0%,0.0%,14.8%,0.0%,0.0%,0.0%,0.0%,,,,,,,,,,,,,,,,,,,,,
1156520,1,1,5,2,3,8,4,2,1,19,4,18,10850,40,1397.50,2.22,271.25,12.88,94.5%,5.5%,0.0%,56.2%,0.0%,6.2%,0.0%,0.0%,1.4%,0.0%,0.0%,36.2%,16.4%,83.6%,0.0%,0.0%,77.9%,0.0%,2.8%,12.4%,0.0%,3.2%,1.4%,0.0%,0.0%,0.0%,2.3%,,,,,,,,,,,,,,,,,,,,,
1156690,1,1,15,2,3,8,4,3,1,33,3,16,3700,23,491.50,1.44,160.87,13.28,100.0%,0.0%,0.0%,0.0%,0.0%,4.1%,0.0%,0.0%,2.0%,0.0%,0.0%,93.9%,73.6%,26.4%,0.0%,0.0%,27.0%,0.0%,48.6%,22.3%,0.0%,0.0%,2.0%,0.0%,0.0%,0.0%,0.0%,,,,,,,,,,,,,,,,,,,,,
1156770,1,1,8,2,3,5,4,2,1,25,1,4,8950,22,1701.00,5.50,406.82,19.01,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,0.0%,0.0%,0.0%,97.2%,0.0%,2.8%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,,,,,,,,,,,,,,,,,,,,
1156780,2,0,0,0,3,0,0,5,0,0,3,4,1500,4,214.00,1.00,375.00,14.27,90.0%,0.0%,10.0%,56.7%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,10.0%,33.3%,40.0%,60.0%,0.0%,0.0%,90.0%,10.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,,,,,,,,,,,,,,,,,,,,
1156840,1,0,0,0,3,0,0,5,0,0,3,9,2100,10,235.00,1.11,210.00,11.19,89.3%,10.7%,0.0%,0.0%,0.0%,32.1%,9.5%,0.0%,0.0%,0.0%,0.0%,58.3%,17.9%,67.9%,0.0%,14.3%,64.3%,0.0%,0.0%,35.7%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,,,,,,,,,,,,,,,,,,,,
1156880,2,3,10,2,4,5,9,2,1,21,6,22,13750,34,1740.00,1.55,404.41,12.65,94.5%,5.5%,0.0%,18.4%,0.0%,1.6%,0.0%,1.1%,1.6%,0.0%,2.7%,74.5%,38.7%,35.1%,0.0%,26.2%,64.0%,13.1%,1.1%,19.1%,0.0%,0.0%,1.6%,0.0%,1.1%,0.0%,0.0%,,,,,,,,,,,,,,,,,,,,,
1156970,2,1,10,2,3,6,3,4,2,26,5,26,10175,35,1481.50,1.35,290.71,14.56,57.0%,36.1%,6.9%,2.9%,0.0%,37.6%,5.9%,0.0%,0.0%,0.0%,1.5%,52.1%,28.0%,72.0%,0.0%,0.0%,13.3%,7.9%,16.2%,58.7%,3.9%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,,,,,,,,,,,,,,,,,,,,
1156990,1,0,0,0,3,0,0,5,0,0,3,3,525,3,112.50,1.00,175.00,21.43,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,14.3%,14.3%,0.0%,0.0%,71.4%,85.7%,14.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,14.3%,0.0%,85.7%,0.0%,0.0%,,,,,,,,,,,,,,,,,,,,,
1157070,3,3,16,2,4,2,6,1,1,10,3,13,6500,17,727.50,1.31,382.35,11.19,100.0%,0.0%,0.0%,11.9%,0.0%,0.0%,13.8%,0.0%,0.0%,0.0%,0.0%,74.2%,30.8%,23.1%,0.0%,46.2%,60.0%,11.5%,10.4%,15.0%,3.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,,,,,,,,,,,,,,,,,,,,
1157120,2,2,10,2,3,4,5,4,1,18,4,13,13400,24,1655.25,1.85,558.33,12.35,93.3%,4.5%,2.2%,56.7%,0.0%,4.5%,0.0%,10.1%,0.0%,0.0%,0.0%,28.7%,11.2%,88.8%,0.0%,0.0%,84.3%,1.1%,0.0%,4.5%,0.0%,0.0%,0.0%,0.0%,10.1%,0.0%,0.0%,,,,,,,,,,,,,,,,,,,,,
1157180,2,3,12,2,3,7,3,2,1,35,4,39,11330,54,2085.40,1.38,209.81,18.41,75.7%,18.8%,5.5%,8.6%,0.0%,5.3%,0.0%,0.0%,1.3%,0.0%,0.0%,84.8%,73.7%,24.1%,0.9%,1.3%,15.7%,2.0%,0.9%,26.0%,14.1%,32.7%,1.3%,6.0%,0.0%,0.0%,1.4%,,,,,,,,,,,,,,,,,,,,,
1157190,1,1,5,2,3,7,4,4,1,24,5,16,5200,22,789.75,1.38,236.36,15.19,61.1%,38.9%,0.0%,2.9%,0.0%,20.2%,0.0%,5.8%,36.1%,0.0%,0.0%,35.1%,28.8%,71.2%,0.0%,0.0%,20.2%,0.0%,5.8%,24.5%,0.0%,5.8%,36.1%,0.0%,5.8%,0.0%,1.9%,,,,,,,,,,,,,,,,,,,,,
1157250,3,1,10,2,4,5,4,4,1,12,4,15,9400,25,1127.50,1.67,376.00,11.99,92.0%,3.2%,4.8%,10.1%,0.0%,0.0%,40.4%,0.0%,0.0%,0.0%,14.4%,35.1%,22.1%,77.9%,0.0%,0.0%,50.5%,42.3%,4.0%,0.0%,1.1%,0.0%,0.0%,0.0%,0.0%,0.0%,2.1%,,,,,,,,,,,,,,,,,,,,,
1157310,2,3,10,2,3,6,4,2,1,31,3,8,4025,24,780.00,3.00,167.71,19.38,81.4%,0.0%,18.6%,0.0%,0.0%,0.0%,0.0%,3.7%,0.0%,0.0%,78.3%,18.0%,100.0%,0.0%,0.0%,0.0%,1.9%,78.3%,5.6%,0.0%,0.0%,6.8%,0.0%,0.0%,3.7%,0.0%,3.7%,,,,,,,,,,,,,,,,,,,,,
1157320,3,1,10,2,3,5,4,3,1,41,7,27,6550,42,852.50,1.56,155.95,13.02,65.3%,13.0%,21.8%,12.2%,0.0%,1.1%,6.1%,6.9%,0.0%,3.1%,2.3%,68.3%,34.4%,59.5%,0.0%,6.1%,60.3%,2.3%,7.6%,11.1%,10.7%,0.0%,1.1%,0.0%,6.9%,0.0%,0.0%,,,,,,,,,,,,,,,,,,,,,
1157360,2,3,10,2,3,5,6,2,1,24,3,7,8125,12,1419.00,1.71,677.08,17.46,100.0%,0.0%,0.0%,72.0%,0.0%,0.0%,0.0%,0.0%,0.0%,7.4%,0.0%,20.6%,92.6%,7.4%,0.0%,0.0%,72.0%,16.9%,11.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,,,,,,,,,,,,,,,,,,,,
1157420,2,0,0,0,3,0,0,5,0,0,5,20,16175,30,1702.00,1.50,539.17,10.52,100.0%,0.0%,0.0%,18.2%,31.5%,2.8%,0.0%,0.0%,0.0%,0.0%,1.4%,46.1%,17.8%,50.7%,31.5%,0.0%,49.8%,7.9%,0.0%,4.2%,0.6%,6.0%,0.0%,0.0%,0.0%,31.5%,0.0%,,,,,,,,,,,,,,,,,,,,,
1157460,1,1,4,2,3,5,4,2,1,38,4,8,4700,11,573.00,1.38,427.27,12.19,100.0%,0.0%,0.0%,9.6%,0.0%,0.0%,42.6%,0.0%,19.1%,0.0%,0.0%,28.7%,25.5%,74.5%,0.0%,0.0%,64.9%,0.0%,9.6%,0.0%,6.4%,0.0%,19.1%,0.0%,0.0%,0.0%,0.0%,,,,,,,,,,,,,,,,,,,,,
1157490,2,3,10,2,3,5,3,2,1,16,3,11,6075,19,861.50,1.73,319.74,14.18,81.5%,18.5%,0.0%,0.0%,0.0%,8.6%,0.0%,0.0%,66.7%,0.0%,0.0%,24.7%,18.1%,75.3%,6.6%,0.0%,3.7%,0.0%,0.0%,17.3%,0.0%,0.0%,66.7%,5.8%,0.0%,6.6%,0.0%,,,,,,,,,,,,,,,,,,,,,
1157500,1,1,4,2,3,7,4,2,2,17,4,13,6900,16,624.00,1.23,431.25,9.04,100.0%,0.0%,0.0%,40.6%,23.9%,0.0%,0.0%,0.0%,0.0%,20.3%,0.0%,15.2%,0.0%,76.1%,23.9%,0.0%,40.6%,8.7%,20.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,23.9%,6.5%,,,,,,,,,,,,,,,,,,,,,
1157580,1,1,4,2,3,7,8,1,1,38,1,12,40400,16,3109.00,1.33,2525.00,7.70,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,11.9%,12.4%,0.0%,75.7%,93.6%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,6.4%,,,,,,,,,,,,,,,,,,,,,
1157610,1,1,4,2,3,7,4,2,1,32,3,8,7875,13,853.00,1.63,605.77,10.83,88.6%,11.4%,0.0%,76.5%,0.0%,0.0%,0.0%,0.0%,0.0%,2.5%,0.0%,21.0%,6.7%,93.3%,0.0%,0.0%,97.5%,0.0%,2.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,,,,,,,,,,,,,,,,,,,,
1157640,1,1,4,2,3,7,7,4,1,37,3,13,17575,39,1705.00,3.00,450.64,9.70,100.0%,0.0%,0.0%,47.8%,26.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,25.7%,11.5%,60.9%,27.6%,0.0%,60.9%,0.0%,0.0%,0.0%,8.5%,3.0%,0.0%,0.0%,0.0%,27.6%,0.0%,,,,,,,,,,,,,,,,,,,,,
1157670,2,1,4,2,3,5,5,2,1,16,6,21,8965,27,998.50,1.29,332.04,11.14,91.6%,8.4%,0.0%,29.0%,0.0%,3.3%,13.4%,0.8%,0.0%,0.0%,1.7%,51.8%,19.4%,51.6%,0.0%,29.0%,81.0%,5.0%,0.0%,5.9%,2.2%,5.0%,0.0%,0.0%,0.8%,0.0%,0.0%,,,,,,,,,,,,,,,,,,,,,
1157700,1,2,4,2,2,6,3,2,2,21,2,7,6600,15,647.90,2.14,440.00,9.82,100.0%,0.0%,0.0%,19.7%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,80.3%,4.8%,95.2%,0.0%,0.0%,48.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,51.5%,,,,,,,,,,,,,,,,,,,,,
1157730,2,1,4,2,3,7,7,2,1,20,7,29,12550,41,1478.50,1.41,306.10,11.78,96.4%,3.6%,0.0%,28.9%,3.6%,11.4%,5.6%,1.2%,0.0%,0.0%,3.0%,46.4%,15.5%,71.3%,3.6%,9.6%,44.0%,21.5%,0.0%,14.9%,2.4%,1.8%,0.0%,0.0%,1.2%,3.6%,10.6%,,,,,,,,,,,,,,,,,,,,,
1157780,1,3,10,2,4,8,6,2,1,45,2,4,6300,10,744.00,2.50,630.00,11.81,100.0%,0.0%,0.0%,85.7%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,14.3%,14.3%,85.7%,0.0%,0.0%,92.9%,0.0%,0.0%,7.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,,,,,,,,,,,,,,,,,,,,
1157830,1,1,13,2,3,7,4,2,1,33,4,12,3750,15,506.50,1.25,250.00,13.51,46.7%,46.0%,7.3%,32.0%,0.0%,18.0%,0.0%,0.0%,0.0%,10.7%,0.0%,39.3%,29.3%,70.7%,0.0%,0.0%,44.0%,0.0%,10.7%,31.3%,0.0%,8.0%,0.0%,6.0%,0.0%,0.0%,0.0%,,,,,,,,,,,,,,,,,,,,,
1157860,2,1,5,2,2,3,4,3,1,17,4,9,2675,11,290.50,1.22,243.18,10.86,66.4%,0.0%,33.6%,18.7%,50.5%,0.0%,0.0%,0.0%,0.0%,0.0%,2.8%,28.0%,30.8%,18.7%,50.5%,0.0%,46.7%,2.8%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.5%,0.0%,,,,,,,,,,,,,,,,,,,,,
1157870,1,3,5,2,3,4,6,2,1,26,4,22,18200,39,2290.75,1.77,466.67,12.59,98.8%,1.2%,0.0%,30.8%,0.8%,0.0%,0.0%,0.0%,0.0%,0.0%,20.2%,48.2%,33.8%,65.4%,0.8%,0.0%,44.8%,24.6%,25.7%,3.3%,0.0%,0.8%,0.0%,0.0%,0.0%,0.8%,0.0%,,,,,,,,,,,,,,,,,,,,,
1157910,1,1,5,2,4,7,4,4,1,32,1,1,6700,14,703.50,14.00,478.57,10.50,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,,,,,,,,,,,,,,,,,,,,
1157950,1,3,10,2,3,8,4,2,2,25,5,24,4750,34,576.00,1.42,139.71,12.13,84.2%,6.3%,9.5%,6.3%,3.2%,0.0%,0.0%,0.0%,1.6%,29.5%,0.0%,59.5%,33.2%,63.7%,3.2%,0.0%,29.5%,0.0%,51.6%,1.6%,12.6%,0.0%,1.6%,0.0%,0.0%,3.2%,0.0%,,,,,,,,,,,,,,,,,,,,,
1158030,2,0,0,0,3,0,0,5,0,0,2,3,1225,4,133.00,1.33,306.25,10.86,100.0%,0.0%,0.0%,73.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,26.5%,26.5%,73.5%,0.0%,0.0%,73.5%,0.0%,18.4%,0.0%,8.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,,,,,,,,,,,,,,,,,,,,
1158080,3,0,0,0,3,0,0,5,0,0,3,3,750,3,57.50,1.00,250.00,7.67,100.0%,0.0%,0.0%,26.7%,60.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,13.3%,13.3%,26.7%,60.0%,0.0%,26.7%,0.0%,0.0%,0.0%,13.3%,0.0%,0.0%,0.0%,0.0%,60.0%,0.0%,,,,,,,,,,,,,,,,,,,,,
1158120,2,1,4,2,2,8,4,4,1,18,6,13,6250,18,699.50,1.38,347.22,11.19,96.4%,3.6%,0.0%,40.0%,7.2%,13.2%,9.6%,0.0%,4.8%,0.0%,0.0%,25.2%,8.4%,74.8%,7.2%,9.6%,66.4%,0.0%,0.0%,21.6%,0.0%,0.0%,4.8%,0.0%,0.0%,7.2%,0.0%,,,,,,,,,,,,,,,,,,,,,
1158130,1,3,12,2,3,5,6,2,1,13,4,9,6975,12,758.50,1.33,581.25,10.87,96.8%,3.2%,0.0%,51.6%,0.0%,3.2%,0.0%,2.2%,0.0%,0.0%,0.0%,43.0%,2.2%,97.8%,0.0%,0.0%,94.6%,0.0%,0.0%,3.2%,0.0%,0.0%,0.0%,0.0%,2.2%,0.0%,0.0%,,,,,,,,,,,,,,,,,,,,,
